Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1710,3.0,6.0,Yes,-4.53,129.9,,,,,INDONESIA
1710,4.0,16.0,Yes,27.8,111.3,,5.5,,,CHINA
1711,3.0,19.0,,35.5,133.0,,,4.0,,JAPAN
1711,8.0,16.0,,19.2,-103.7,,,,,MEXICO
1711,9.0,5.0,Yes,-4.0,129.0,,7.0,,,INDONESIA
1711,10.0,6.0,,47.0,0.1,,,,,FRANCE
1711,12.0,20.0,Yes,34.3,134.0,,6.7,1000.0,,"SEIONAIKAI, JAPAN"
1713,2.0,26.0,,25.4,103.2,,6.8,2100.0,,CHINA
1713,9.0,4.0,,32.0,103.7,,6.5,,,CHINA
1713,,,,27.5,93.0,,,,,INDIA
1714,4.0,28.0,,36.5,138.0,,,56.0,,JAPAN
1714,5.0,5.0,,17.0,-96.3,,,,,MEXICO
1714,7.0,27.0,,38.2,21.7,,6.3,,,GREECE
1714,8.0,4.0,Yes,21.85,95.96700000000001,,,,,MYNAMAR (BURMA)
1714,9.0,3.0,,38.25,21.73,,,,,GREECE
1715,3.0,8.0,,38.7,43.9,,6.6,,,TURKEY
1715,8.0,23.0,Yes,-17.3,-70.8,80.0,7.5,,,PERU
1715,12.0,29.0,Yes,33.3,131.7,,6.6,,,"SEIKAIDO, JAPAN"
1715,,,,38.3,43.2,,,,,TURKEY
1716,2.0,3.0,,36.8,3.0,,,,,ALGERIA
1716,2.0,6.0,,-17.2,-71.2,40.0,8.8,,,PERU
1716,2.0,11.0,,-13.7,-76.0,50.0,8.6,,,PERU
1716,2.0,16.0,,29.0,-114.0,,,,,MEXICO
1716,5.0,,,36.8,3.0,,,20000.0,,ALGERIA
1716,9.0,24.0,Yes,14.002,120.993,,,,,PHILIPPINES
1716,,,,41.2,80.3,30.0,7.5,,,CHINA
1717,5.0,13.0,,39.0,142.7,,7.6,,,JAPAN
1717,7.0,28.0,,44.1,15.2,,,,,BALKANS NW
1717,,,,18.3,-66.4,,,,,PUERTO RICO
1718,6.0,19.0,,35.0,105.2,,7.5,73000.0,,CHINA
1719,5.0,25.0,,40.8,29.4,,,,,TURKEY
1719,,,,31.4,-8.0,,,,,MOROCCO
1719,,,,,,,,,,EL SALVADOR
1720,7.0,12.0,,40.4,115.5,,6.8,,,CHINA
1720,7.0,15.0,,29.0,77.5,,,,,INDIA
1720,8.0,12.0,,38.218,-26.635,,,,,AZORES
1720,10.0,31.0,,20.3,120.3,,5.5,,,TAIWAN
1720,12.0,8.0,,38.2,-26.6,,,,,AZORES
1720,12.0,20.0,,47.4,9.5,,,,,SWITZERLAND
1721,1.0,5.0,,23.0,120.3,,6.0,,,TAIWAN
1721,1.0,12.0,,45.3,14.4,,,,,BALKANS NW
1721,1.0,14.0,,18.0,121.5,,,,,PHILIPPINES
1721,4.0,26.0,,37.9,46.7,,7.7,40000.0,,IRAN
1721,,,Yes,23.0,120.2,,,2000.0,,TAIWAN
1722,5.0,22.0,,38.7,20.6,,,,,GREECE
1722,10.0,,Yes,-6.1739999999999995,106.829,,,,,INDONESIA
1722,12.0,27.0,Yes,37.2,-7.6,,,,,PORTUGAL
1723,2.0,18.0,Yes,38.5,20.5,,7.0,,,GREECE
1725,1.0,7.0,,-9.0,-79.0,60.0,7.7,1500.0,,PERU
1725,1.0,8.0,,-16.4,-70.8,3.0,7.6,,,PERU
1725,1.0,8.0,,25.1,103.1,,6.0,614.0,184.0,CHINA
1725,2.0,1.0,,56.5,118.5,50.0,8.2,,,RUSSIA
1725,3.0,27.0,Yes,-16.6,-72.7,50.0,,,,PERU
1725,8.0,2.0,,30.1,101.9,,5.5,,,CHINA
1726,4.0,1.0,Yes,36.3,136.0,,6.6,,,JAPAN
1726,9.0,1.0,Yes,38.1,13.35,,,250.0,,ITALY
1727,3.0,10.0,,19.2,-99.1,,,,,MEXICO
1727,6.0,20.0,,39.5,127.3,,5.7,,,NORTH KOREA
1727,7.0,4.0,Yes,37.5,13.0,,5.2,,,ITALY
1727,11.0,7.0,,14.4,-61.0,,,,,MARTINIQUE
1727,11.0,18.0,,38.0,46.3,,,77000.0,,IRAN
1728,11.0,28.0,,14.4,121.0,,,,,PHILIPPINES
1729,8.0,1.0,,37.5,137.0,,,5.0,,JAPAN
1730,3.0,28.0,,44.0,10.1,,,,,ITALY
1730,5.0,12.0,,42.8,13.0,,,200.0,,ITALY
1730,6.0,13.0,,38.5,-28.0,,,,,AZORES
1730,7.0,8.0,Yes,-32.5,-71.5,,9.1,2.0,,CHILE
1730,9.0,30.0,,40.0,116.2,,6.5,658.0,,CHINA
1730,11.0,10.0,Yes,36.2,142.2,,7.6,,,JAPAN
